temperature,humidity,pressure,gas,adc1_channel_0_ppm,adc1_channel_1_ppm,adc1_channel_2_ppm,adc1_channel_3_ppm,adc2_channel_0_ppm,adc2_channel_1_ppm,adc2_channel_2_ppm,adc2_channel_3_ppm
28.30559,44.44304,977.2891,36311,454.2801556420234,539.3362325474936,4.556385137712672,24.27676813916228,24.444907301441976,3.2191348134584574,596.4275577935455,0.0
28.38078,44.47557,977.1481,34880,454.3254749370565,538.0041199359121,4.556536964980544,24.345296406500342,24.64307621881437,3.2417944609750515,599.3238727397573,0.0
28.43879,44.27249,977.1728,39067,454.2197299153124,537.7080949111162,4.557144274052033,24.43666742961776,24.68880750743877,3.2176241702906845,598.1043717097734,0.0
28.49172,44.05747,977.171,44219,454.1744106202793,537.8561074235141,4.5566887922484165,24.48235294117647,24.383932249942777,3.1949645227740904,599.1714351110094,0.0
28.41145,44.33347,977.1477,36794,454.2952620737011,537.8561074235141,4.558055237659265,24.42905317769131,24.368688487067978,3.231219958800641,598.1043717097734,0.0
28.55812,44.00656,977.1058,22515,454.4010070954452,635.9884031433585,4.557903410391393,30.984924086366064,34.61249713893339,4.1950102998397805,691.8535133897916,0.0
27.63684,48.20147,977.2855,12276,452.10482948043034,588.3283741512168,4.537406729228656,25.677790493629356,29.582055390249483,3.776562142366674,676.0,0.0
29.65539,44.82235,977.3306,18471,453.3737697413596,605.6458381017776,4.551526665140764,24.74885175860227,30.34424353398947,3.9034561684596016,703.8960860608835,0.0
29.65539,44.82235,977.3306,18471,453.464408331426,605.4978255893798,4.550615701533531,24.79453727016098,30.28326848249027,3.9110093842984663,703.7436484321355,0.0
29.65539,44.82235,977.3306,18471,453.630579079881,604.9057755397879,4.551830319676508,24.6498664835584,30.237537193865872,3.9094987411306934,703.4387731746396,0.0
29.65539,44.82235,977.3306,18471,453.6758983749142,605.2018005645838,4.552437628747997,24.68793774319066,30.633875028610664,3.9064774547951475,704.0485236896316,0.0
29.65539,44.82235,977.3306,18471,453.4946211947814,605.2018005645838,4.550767528801403,24.665094987411305,30.100343327992675,3.914030670634012,704.6582742046235,0.0
29.65539,44.82235,977.3306,18471,453.69100480659193,605.2018005645838,4.550615701533531,24.710780498970013,30.450949874113068,3.9049668116273746,704.6582742046235,0.0
29.65539,44.82235,977.3306,18471,453.69100480659193,605.3498130769817,4.551678492408636,24.627023727779047,30.34424353398947,3.9125200274662393,704.3533989471275,0.0
29.65539,44.82235,977.3306,18471,453.66079194323646,605.0537880521858,4.550615701533531,24.74123750667582,30.42046234836347,3.914030670634012,705.7253376058595,0.0
29.65539,44.82235,977.3306,18471,453.630579079881,604.9057755397879,4.552741283283741,24.657480735484853,30.34424353398947,3.9034561684596016,705.5728999771115,0.0
29.65539,44.82235,977.3306,18471,453.6003662165255,605.0537880521858,4.551830319676508,24.703166247043562,30.42046234836347,3.914030670634012,706.1826504921034,0.0
29.65539,44.82235,977.3306,18471,453.4795147631037,605.0537880521858,4.551830319676508,24.672709239337756,30.34424353398947,3.9094987411306934,707.0972762645914,0.0
29.65539,44.82235,977.3306,18471,453.6758983749142,605.3498130769817,4.550615701533531,24.68793774319066,30.496681162737467,3.9110093842984663,707.0972762645914,0.0
29.65539,44.82235,977.3306,18471,453.61547264820325,605.4978255893798,4.551374837872892,24.6498664835584,30.35948729686427,3.9064774547951475,707.2497138933395,0.0
29.65539,44.82235,977.3306,18471,453.55504692149236,605.4978255893798,4.5533485923552295,24.764080262455174,30.38997482261387,3.9079880979629205,708.0119020370795,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,605.0537880521858,4.551678492408636,24.68793774319066,30.29851224536507,3.9004348821240558,707.5545891508355,0.0
29.65539,44.82235,977.3306,18471,453.464408331426,605.0537880521858,4.551830319676508,24.665094987411305,30.26802471961547,3.9064774547951475,708.6216525520714,0.0
29.65539,44.82235,977.3306,18471,453.58525978484784,604.75776302739,4.550767528801403,24.657480735484853,30.176562142366674,3.9079880979629205,708.6216525520714,0.0
29.65539,44.82235,977.3306,18471,453.5399404898146,605.3498130769817,4.552893110551613,24.611795223926144,30.38997482261387,3.9049668116273746,708.6216525520714,0.0
29.65539,44.82235,977.3306,18471,453.5701533531701,605.3498130769817,4.550767528801403,24.665094987411305,30.466193636987867,3.918562600137331,709.3838406958114,0.0
29.65539,44.82235,977.3306,18471,453.50972762645915,604.9057755397879,4.550919356069276,24.627023727779047,30.31375600823987,3.9110093842984663,708.9265278095675,0.0
29.65539,44.82235,977.3306,18471,453.6456855115587,606.3859006637674,4.551223010605019,24.733623254749368,30.466193636987867,3.917051956969558,709.5362783245594,0.0
29.65539,44.82235,977.3306,18471,453.7363241016251,605.6458381017776,4.550615701533531,24.627023727779047,30.511924925612266,3.9079880979629205,709.5362783245594,0.0
29.65539,44.82235,977.3306,18471,453.6456855115587,605.7938506141757,4.551526665140764,24.6346379797055,30.527168688487066,3.9094987411306934,710.1460288395514,0.0
29.65539,44.82235,977.3306,18471,453.66079194323646,606.0898756389715,4.551374837872892,24.74123750667582,30.466193636987867,3.915541313801785,709.8411535820554,0.0
29.65539,44.82235,977.3306,18471,453.7363241016251,605.9418631265736,4.551374837872892,24.619409475852596,30.37473105973907,3.9110093842984663,710.2984664682994,0.0
29.65539,44.82235,977.3306,18471,453.58525978484784,605.9418631265736,4.551223010605019,24.627023727779047,30.40521858548867,3.914030670634012,709.9935912108034,0.0
29.65539,44.82235,977.3306,18471,453.5701533531701,606.2378881513695,4.552741283283741,24.68793774319066,30.588143739986265,3.915541313801785,710.6033417257954,0.0
29.65539,44.82235,977.3306,18471,453.61547264820325,606.2378881513695,4.552893110551613,24.672709239337756,30.511924925612266,3.917051956969558,710.4509040970474,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,605.6458381017776,4.552285801480124,24.779308766308077,30.542412451361866,3.9094987411306934,708.4692149233234,0.0
29.65539,44.82235,977.3306,18471,453.70611123826967,606.0898756389715,4.551223010605019,24.69555199511711,30.42046234836347,3.9034561684596016,709.5362783245594,0.0
29.65539,44.82235,977.3306,18471,453.66079194323646,605.7938506141757,4.5510711833371476,24.69555199511711,30.38997482261387,3.921583886472877,708.9265278095675,0.0
29.65539,44.82235,977.3306,18471,453.55504692149236,606.8299382009614,4.551830319676508,24.74885175860227,30.37473105973907,3.918562600137331,709.3838406958114,0.0
29.65539,44.82235,977.3306,18471,453.69100480659193,606.9779507133592,4.55198214694438,24.680323491264208,30.435706111238268,3.9125200274662393,709.2314030670634,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,606.0898756389715,4.551830319676508,24.672709239337756,30.38997482261387,3.921583886472877,710.2984664682994,0.0
29.65539,44.82235,977.3306,18471,453.5248340581369,606.3859006637674,4.552437628747997,24.6498664835584,30.37473105973907,3.9094987411306934,709.3838406958114,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,605.4978255893798,4.551678492408636,24.573723964293887,30.542412451361866,3.9110093842984663,709.0789654383154,0.0
29.65539,44.82235,977.3306,18471,453.69100480659193,606.2378881513695,4.553044937819485,24.611795223926144,30.679606317235063,3.917051956969558,709.0789654383154,0.0
29.65539,44.82235,977.3306,18471,453.6758983749142,606.2378881513695,4.551830319676508,24.665094987411305,30.481437399862667,3.924605172808423,709.6887159533075,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,605.9418631265736,4.550767528801403,24.59656672007324,30.527168688487066,3.9064774547951475,709.8411535820554,0.0
29.65539,44.82235,977.3306,18471,453.72121766994735,605.4978255893798,4.552133974212253,24.726009002822916,30.252780956740672,3.914030670634012,710.2984664682994,0.0
29.65539,44.82235,977.3306,18471,453.7514305333028,606.0898756389715,4.551678492408636,24.604180971999693,30.466193636987867,3.9034561684596016,709.9935912108034,0.0
